"","RuleMatchCount-PART x RuleMatchWeighted-PART","RuleMatchCount-PART x RuleMatchWeighted-PART p-value","RuleMatchCount-PART x RuleMatchCount-J48","RuleMatchCount-PART x RuleMatchCount-J48 p-value","RuleMatchCount-PART x RuleMatchWeighted-J48","RuleMatchCount-PART x RuleMatchWeighted-J48 p-value","RuleMatchCount-PART x RuleMatchCount-DT","RuleMatchCount-PART x RuleMatchCount-DT p-value","RuleMatchCount-PART x PureWeka","RuleMatchCount-PART x PureWeka p-value","RuleMatchWeighted-PART x RuleMatchCount-J48","RuleMatchWeighted-PART x RuleMatchCount-J48 p-value","RuleMatchWeighted-PART x RuleMatchWeighted-J48","RuleMatchWeighted-PART x RuleMatchWeighted-J48 p-value","RuleMatchWeighted-PART x RuleMatchCount-DT","RuleMatchWeighted-PART x RuleMatchCount-DT p-value","RuleMatchWeighted-PART x PureWeka","RuleMatchWeighted-PART x PureWeka p-value","RuleMatchCount-J48 x RuleMatchWeighted-J48","RuleMatchCount-J48 x RuleMatchWeighted-J48 p-value","RuleMatchCount-J48 x RuleMatchCount-DT","RuleMatchCount-J48 x RuleMatchCount-DT p-value","RuleMatchCount-J48 x PureWeka","RuleMatchCount-J48 x PureWeka p-value","RuleMatchWeighted-J48 x RuleMatchCount-DT","RuleMatchWeighted-J48 x RuleMatchCount-DT p-value","RuleMatchWeighted-J48 x PureWeka","RuleMatchWeighted-J48 x PureWeka p-value","RuleMatchCount-DT x PureWeka","RuleMatchCount-DT x PureWeka p-value"
"Accuracy","< (01x12)","0.00333335402513658","< (04x10)","0.187401192001721","< (04x10)","0.209286554781767","< (04x10)","0.0170556294065931","< (01x13)","0.0020976434034589","> (11x03)","0.0445533169117585","> (12x02)","0.0170556294065931","< (06x08)","0.801732212656982","< (04x10)","0.148778617087727","t (07x07)","0.753610350301361","< (04x10)","0.0787915035643527","< (01x12)","0.00265508212648921","< (03x11)","0.0900820575789648","< (01x13)","0.00169627235997648","< (04x10)","0.379471360411207"
"PrecisionWeightedAvg","< (04x10)","0.0516462183078041","> (08x06)","0.900085797418725","> (08x06)","0.753610350301361","< (06x08)","0.209286554781767","< (05x09)","0.0686801607303541","> (12x02)","0.0201936704010222","> (14x00)","0.0010970505857231","> (09x05)","0.489853845560898","< (05x09)","0.753610350301361","> (08x06)","0.572081696065726","< (04x10)","0.0445533169117585","< (03x11)","0.0201936704010222","< (04x10)","0.0445533169117585","< (01x13)","0.00169627235997648","< (05x09)","0.615518503675301"
"RecallWeightedAvg","< (01x12)","0.00333335402513658","< (04x10)","0.187401192001721","< (04x10)","0.209286554781767","< (04x10)","0.0170556294065931","< (01x13)","0.0020976434034589","> (11x03)","0.0445533169117585","> (12x02)","0.0170556294065931","< (06x08)","0.801732212656982","< (04x10)","0.148778617087727","t (07x07)","0.753610350301361","< (04x10)","0.0787915035643527","< (01x12)","0.00265508212648921","< (03x11)","0.0900820575789648","< (01x13)","0.00169627235997648","< (04x10)","0.379471360411207"
"FMeasureWeightedAvg","< (03x11)","0.0120369481070948","< (06x08)","0.379471360411207","< (06x08)","0.414446222764492","< (04x10)","0.0238241460165172","< (01x13)","0.0020976434034589","> (11x03)","0.0516462183078041","> (12x02)","0.0120369481070948","> (08x06)","0.70642711574737","< (04x10)","0.0787915035643527","t (07x07)","0.753610350301361","< (04x10)","0.0596604735623143","< (02x12)","0.0100578003666","< (03x11)","0.0328100197002589","< (01x13)","0.00169627235997648","< (05x09)","0.451258974150342"
"Summary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wins c1","RuleMatchCount-PART","0","RuleMatchCount-PART","1","RuleMatchCount-PART","1","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","2","RuleMatchWeighted-PART","0","RuleMatchCount-J48","1","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0"
"wins c2","RuleMatchWeighted-PART","4","RuleMatchCount-J48","3","RuleMatchWeighted-J48","3","RuleMatchCount-DT","4","PureWeka","4","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","2","PureWeka","4","RuleMatchWeighted-J48","0","RuleMatchCount-DT","4","PureWeka","4","RuleMatchCount-DT","4","PureWeka","4","PureWeka","4"
"ties","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0","Tie","3","Tie","0","Tie","0","Tie","0","Tie","0","Tie","0"
"wins c1 sig","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchCount-PART","0","RuleMatchWeighted-PART","3","RuleMatchWeighted-PART","4","RuleMatchWeighted-PART","0","RuleMatchWeighted-PART","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0"
"win c2 sig","RuleMatchWeighted-PART","3","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","3","PureWeka","3","RuleMatchCount-J48","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","0","PureWeka","0","RuleMatchWeighted-J48","0","RuleMatchCount-DT","1","PureWeka","4","RuleMatchCount-DT","2","PureWeka","4","PureWeka","0"
