"","RuleMatchCount-PART","RuleMatchWeighted-PART","RuleMatchCount-J48","RuleMatchWeighted-J48","RuleMatchCount-DT","PureWeka"
"australian",78.2608695652174,83.0434782608696,79.2753623188406,80.5797101449275,83.9130434782609,82.463768115942
"breast",92.5631469979296,93.4182194616977,92.9855072463768,93.128364389234,92.4140786749482,92.703933747412
"breastcancer",65.7266009852217,72.3522167487685,65.7758620689655,66.4285714285714,73.7931034482759,68.1896551724138
"diabetes",72.8007518796992,72.4094326725906,68.4962406015038,68.6278195488722,73.8397129186603,71.2303485987697
"heart",72.2222222222222,72.2222222222222,68.8888888888889,68.5185185185185,73.3333333333333,74.0740740740741
"hepatitis",73.125,75.7083333333333,78.2083333333333,77,82.7083333333333,80.1666666666667
"ionosphere",72.3015873015873,85.7301587301587,83.4920634920635,84.3571428571429,87.4444444444444,89.7380952380952
"labor",52,77.6666666666667,82.6666666666667,81,74,82.6666666666667
"liver-disorders",62.5714285714286,62.6134453781513,59.4033613445378,58.8151260504202,60.3193277310924,65.4957983193277
"mushroom",99.901492980447,99.913808251383,99.0030235277722,98.9784232817698,99.9014778325123,100
"sick",94.8033766999284,97.7203766858939,97.799741765259,97.693711141987,97.7468317123489,97.879177017108
"sonar",57.8095238095238,62.0952380952381,60.1666666666667,60.1428571428571,62.1666666666667,62.4285714285714
"tic-tac-toe",77.1491228070175,84.4440789473684,77.4561403508772,77.7708333333333,74.2225877192982,92.4879385964912
"vote",79.0380549682875,95.4122621564482,93.5835095137421,94.73044397463,94.7463002114165,95.6501057082452
"Average",75.0195127706079,81.0535669721993,79.0858119846781,79.1265372723046,80.753517250328,82.5124856678417
"RankSum",69,38,58,61,41,25
